name,true_identity,description,comics,publisher,superpowers
Spider-Man,Peter Parker, a high school student bitten by a radioactive spider,The Amazing Spider-Man,Marvel Comics,"Web-slinging, superhuman strength, spider-sense"
Batman,Bruce Wayne, a billionaire industrialist and philanthropist,Detective Comics,DC Comics,"Genius-level intellect, master detective, peak human physical condition"
Wonder Woman,Diana Prince, an Amazonian warrior princess,Wonder Woman,DC Comics,"Superhuman strength, flight, combat skills, Lasso of Truth"
Iron Man,Tony Stark, a genius inventor and industrialist,Tales of Suspense,Marvel Comics,"Powered armor suit, genius-level intellect, wealth"
Superman,Clark Kent, an alien from the planet Krypton,Action Comics,DC Comics,"Flight, super strength, heat vision, invulnerability"
Black Panther,T'Challa, king of the fictional African nation of Wakanda,Fantastic Four,Marvel Comics,"Enhanced physical abilities, vibranium suit, genius-level intellect"
The Flash,Barry Allen, a forensic scientist with super-speed,Showcase,DC Comics,"Super speed, time travel, accelerated healing"
Captain America,Steve Rogers, a World War II super-soldier,Captain America Comics,Marvel Comics,"Peak human strength, agility, and endurance, indestructible shield"
Green Lantern,Hal Jordan, a test pilot chosen by the Green Lantern Corps,Showcase,DC Comics,"Power ring granting flight, energy constructs, and space travel"
Thor,Thor Odinson, the Asgardian god of thunder,Journey into Mystery,Marvel Comics,"Superhuman strength, control over lightning, magical hammer Mjolnir"
Hulk,Bruce Banner, a scientist exposed to gamma radiation,The Incredible Hulk,Marvel Comics,"Superhuman strength, durability, regenerative healing factor"
Wolverine,Logan, a mutant with accelerated healing and adamantium claws,The Incredible Hulk,Marvel Comics,"Regenerative healing factor, adamantium skeleton and claws, enhanced senses"
Black Widow,Natasha Romanoff, a highly trained spy and assassin,Tales of Suspense,Marvel Comics,"Expert martial artist, espionage skills, enhanced physical abilities"
Doctor Strange,Stephen Strange, a neurosurgeon turned Sorcerer Supreme,Strange Tales,Marvel Comics,"Mastery of mystic arts, dimensional travel, energy manipulation"
Deadpool,Wade Wilson, a mercenary with accelerated healing factor,The New Mutants,Marvel Comics,"Regenerative healing factor, fourth wall breaking, expert marksman"
Captain Marvel,Carol Danvers, a former Air Force pilot with cosmic powers,Marvel Super-Heroes,Marvel Comics,"Superhuman strength, flight, energy projection, cosmic awareness"
Scarlet Witch,Wanda Maximoff, a mutant with reality-altering powers,X-Men,Marvel Comics,"Reality manipulation, energy projection, telekinesis, telepathy"
Ant-Man,Scott Lang, a former thief who can shrink or grow in size,Marvel Premiere,Marvel Comics,"Size manipulation, communication with insects, superhuman strength when shrunk"
Daredevil,Matt Murdock, a blind lawyer with enhanced senses,Daredevil,Marvel Comics,"Enhanced senses, radar sense, expert martial artist, acrobatics"
Aquaman,Arthur Curry, the half-human king of Atlantis,More Fun Comics,DC Comics,"Superhuman strength, underwater breathing, communication with sea life"
Green Arrow,Oliver Queen, a billionaire vigilante archer,More Fun Comics,DC Comics,"Master archer, expert martial artist, peak human physical condition"
Cyborg,Victor Stone, a former athlete turned cybernetic superhero,DC Comics Presents,DC Comics,"Superhuman strength, advanced technology integration, cybernetic enhancements"
Hawkeye,Clint Barton, a skilled archer and former circus performer,Tales of Suspense,Marvel Comics,"Master archer, expert marksman, acrobatics, tactical skills"
